Opportunity ID,Customer,Salesperson,Region,Industry,Stage,Deal Value,Probability,Expected Revenue,Lead Source,Created Date,Expected Close,Marketing Campaign
OPP-0001,Falcon Logistics,Sana,West,IT Services,Qualified,4250000,0.25,1062500,Google Search,2026-06-19,2026-10-30,Google Search
OPP-0002,Crescent Retail,Aarav,East,Education,Qualified,2649000,0.25,662250,Trade Show,2025-12-10,2026-02-11,Trade Show
OPP-0003,Horizon Tech,Rohan,East,Logistics,Lost,4355000,0.0,0,LinkedIn,2025-09-18,2026-02-09,LinkedIn
OPP-0004,Orion Industrial,Rohan,East,Logistics,Lead,1813000,0.1,181300,Partner Referral,2026-01-24,2026-05-21,Partner Referral
OPP-0005,Gamma Manufacturing,Aarav,East,Logistics,Negotiation,2826000,0.7,1978199,LinkedIn,2025-06-28,2025-08-07,LinkedIn
OPP-0006,Trinity Services,Meera,West,IT Services,Lead,2293000,0.1,229300,Partner Referral,2026-01-12,2026-02-06,Partner Referral
OPP-0007,Orion Industrial,Kabir,North,Retail,Lost,729000,0.0,0,LinkedIn,2025-01-08,2025-04-12,LinkedIn
OPP-0008,Cobalt Systems,Aarav,East,IT Services,Lead,3578000,0.1,357800,Email Nurture,2025-06-20,2025-10-23,Email Nurture
OPP-0009,BrightPath Consulting,Rohan,West,Manufacturing,Proposal,2517000,0.5,1258500,Email Nurture,2026-03-04,2026-05-15,Email Nurture
OPP-0010,BluePeak Ltd,Meera,West,Healthcare,Lead,2003000,0.1,200300,LinkedIn,2026-08-20,2026-10-22,LinkedIn
OPP-0011,Urban Retail,Sana,North,Manufacturing,Lead,754000,0.1,75400,Trade Show,2025-12-13,2026-03-11,Trade Show
OPP-0012,Indus Education,Kabir,North,IT Services,Qualified,509000,0.25,127250,Trade Show,2025-03-11,2025-05-13,Trade Show
OPP-0013,BluePeak Ltd,Aarav,South,Retail,Negotiation,1293000,0.7,905100,LinkedIn,2025-02-08,2025-06-05,LinkedIn
OPP-0014,Quantum Tech,Meera,North,Retail,Qualified,955000,0.25,238750,Organic,2026-07-06,2026-09-08,Organic
OPP-0015,Riverstone Ltd,Sana,South,Manufacturing,Qualified,254000,0.25,63500,Email Nurture,2025-08-13,2025-11-26,Email Nurture
OPP-0016,Fusion Logistics,Kabir,North,IT Services,Proposal,792000,0.5,396000,Google Search,2026-01-13,2026-05-21,Google Search
OPP-0017,Gamma Manufacturing,Meera,East,Manufacturing,Negotiation,569000,0.7,398300,Partner Referral,2026-07-01,2026-10-03,Partner Referral
OPP-0018,Urban Retail,Sana,South,IT Services,Lead,1248000,0.1,124800,Partner Referral,2025-12-27,2026-01-17,Partner Referral
OPP-0019,Riverstone Ltd,Kabir,West,Logistics,Proposal,1901000,0.5,950500,Email Nurture,2026-07-04,2026-09-14,Email Nurture
OPP-0020,Riverstone Ltd,Sana,East,Education,Lost,1136000,0.0,0,Trade Show,2026-01-07,2026-03-08,Trade Show
OPP-0021,Zenith Foods,Diya,North,IT Services,Lost,4109000,0.0,0,Organic,2025-05-15,2025-06-05,Organic
OPP-0022,Delta Systems,Diya,South,Logistics,Proposal,4036000,0.5,2018000,Trade Show,2026-06-30,2026-11-23,Trade Show
OPP-0023,Urban Retail,Diya,East,IT Services,Negotiation,2131000,0.7,1491700,LinkedIn,2026-03-11,2026-07-30,LinkedIn
OPP-0024,BluePeak Ltd,Rohan,West,IT Services,Won,1059000,1.0,1059000,Trade Show,2026-03-17,2026-08-01,Trade Show
OPP-0025,Zenith Foods,Diya,South,IT Services,Won,1562000,1.0,1562000,Trade Show,2025-02-06,2025-06-13,Trade Show
OPP-0026,Cobalt Systems,Meera,South,Healthcare,Lead,220000,0.1,22000,Email Nurture,2026-01-21,2026-04-21,Email Nurture
OPP-0027,BluePeak Ltd,Aarav,East,IT Services,Won,2524000,1.0,2524000,Organic,2025-08-21,2026-01-06,Organic
OPP-0028,Westline Systems,Sana,North,Retail,Qualified,1643000,0.25,410750,Email Nurture,2026-05-27,2026-10-03,Email Nurture
OPP-0029,Fusion Logistics,Diya,East,Manufacturing,Qualified,1183000,0.25,295750,Google Search,2025-04-18,2025-08-28,Google Search
OPP-0030,Vertex Health,Rohan,East,Logistics,Qualified,650000,0.25,162500,Google Search,2025-11-12,2026-02-02,Google Search
OPP-0031,BluePeak Ltd,Sana,East,Logistics,Proposal,668000,0.5,334000,LinkedIn,2025-08-12,2025-12-31,LinkedIn
OPP-0032,BluePeak Ltd,Kabir,West,Manufacturing,Qualified,930000,0.25,232500,Trade Show,2026-06-20,2026-08-10,Trade Show
OPP-0033,Zenith Foods,Diya,West,Healthcare,Won,2738000,1.0,2738000,Google Search,2025-05-07,2025-09-29,Google Search
OPP-0034,Apex Industries,Sana,East,IT Services,Proposal,2503000,0.5,1251500,Organic,2026-05-28,2026-09-30,Organic
OPP-0035,Quantum Tech,Rohan,South,Healthcare,Proposal,2038000,0.5,1019000,Organic,2025-12-21,2026-05-01,Organic
OPP-0036,Aria Components,Rohan,North,Retail,Lead,2921000,0.1,292100,LinkedIn,2025-08-27,2026-01-05,LinkedIn
OPP-0037,Westline Systems,Kabir,East,IT Services,Lead,135000,0.1,13500,Trade Show,2026-05-17,2026-08-09,Trade Show
OPP-0038,Falcon Logistics,Diya,South,Education,Proposal,968000,0.5,484000,Email Nurture,2025-02-19,2025-03-08,Email Nurture
OPP-0039,Aria Components,Aarav,South,Logistics,Lead,2922000,0.1,292200,Google Search,2025-04-25,2025-08-21,Google Search
OPP-0040,Trinity Services,Rohan,North,IT Services,Proposal,451000,0.5,225500,LinkedIn,2025-08-02,2025-10-18,LinkedIn
OPP-0041,Vertex Health,Aarav,West,Retail,Proposal,3565000,0.5,1782500,Organic,2025-07-28,2025-12-23,Organic
OPP-0042,Summit Manufacturing,Meera,North,Healthcare,Won,3115000,1.0,3115000,Google Search,2025-11-22,2026-03-23,Google Search
OPP-0043,Aria Components,Meera,East,Education,Proposal,243000,0.5,121500,Trade Show,2026-08-17,2026-09-21,Trade Show
OPP-0044,Indus Education,Meera,East,Manufacturing,Qualified,1717000,0.25,429250,Organic,2025-06-17,2025-11-04,Organic
OPP-0045,Aria Components,Sana,South,Retail,Qualified,475000,0.25,118750,LinkedIn,2025-04-29,2025-08-05,LinkedIn
OPP-0046,BluePeak Ltd,Kabir,West,Education,Proposal,1268000,0.5,634000,LinkedIn,2025-11-12,2026-03-20,LinkedIn
OPP-0047,Gamma Manufacturing,Aarav,West,Logistics,Negotiation,2171000,0.7,1519700,Organic,2025-04-19,2025-08-05,Organic
OPP-0048,Quantum Tech,Diya,South,Manufacturing,Negotiation,1999000,0.7,1399300,Partner Referral,2025-11-08,2025-11-27,Partner Referral
OPP-0049,Vertex Health,Diya,West,IT Services,Qualified,3918000,0.25,979500,Google Search,2025-08-11,2025-11-20,Google Search
OPP-0050,Trinity Services,Diya,East,Healthcare,Proposal,1736000,0.5,868000,Organic,2025-12-30,2026-03-26,Organic
OPP-0051,Vertex Health,Sana,North,Manufacturing,Qualified,4020000,0.25,1005000,Trade Show,2025-05-27,2025-07-18,Trade Show
OPP-0052,Zenith Foods,Meera,North,Logistics,Won,1421000,1.0,1421000,LinkedIn,2025-09-09,2025-12-30,LinkedIn
OPP-0053,Dawn Healthcare,Aarav,South,Healthcare,Qualified,1257000,0.25,314250,Google Search,2026-08-15,2026-10-28,Google Search
OPP-0054,Falcon Logistics,Sana,West,Healthcare,Proposal,3180000,0.5,1590000,LinkedIn,2025-07-14,2025-12-07,LinkedIn
OPP-0055,Westline Systems,Aarav,North,IT Services,Won,2373000,1.0,2373000,LinkedIn,2025-10-29,2025-11-25,LinkedIn
OPP-0056,Kaveri Engineering,Aarav,South,Education,Lead,2170000,0.1,217000,Organic,2026-04-11,2026-05-15,Organic
OPP-0057,Aria Components,Meera,North,Retail,Qualified,2048000,0.25,512000,Partner Referral,2026-08-20,2026-11-17,Partner Referral
OPP-0058,Urban Retail,Kabir,East,Retail,Lead,1886000,0.1,188600,Partner Referral,2025-12-24,2026-03-14,Partner Referral
OPP-0059,Urban Retail,Diya,North,Retail,Proposal,2958000,0.5,1479000,LinkedIn,2025-05-19,2025-09-01,LinkedIn
OPP-0060,Westline Systems,Diya,North,Manufacturing,Lead,1581000,0.1,158100,Trade Show,2025-06-15,2025-08-11,Trade Show
OPP-0061,Dawn Healthcare,Kabir,South,Education,Lead,2611000,0.1,261100,LinkedIn,2025-01-30,2025-04-14,LinkedIn
OPP-0062,Indus Education,Kabir,South,Logistics,Lead,4184000,0.1,418400,Partner Referral,2025-07-23,2025-10-24,Partner Referral
OPP-0063,Fusion Logistics,Sana,North,IT Services,Proposal,3592000,0.5,1796000,Organic,2026-02-10,2026-05-11,Organic
OPP-0064,Crescent Retail,Rohan,West,Healthcare,Qualified,1421000,0.25,355250,LinkedIn,2025-11-03,2026-03-08,LinkedIn
OPP-0065,Fusion Logistics,Meera,North,Logistics,Qualified,2800000,0.25,700000,Partner Referral,2025-07-07,2025-08-03,Partner Referral
OPP-0066,Fusion Logistics,Aarav,North,Logistics,Proposal,4098000,0.5,2049000,Email Nurture,2026-07-23,2026-09-18,Email Nurture
OPP-0067,Eagle Retail,Aarav,West,Manufacturing,Lost,2381000,0.0,0,Organic,2025-02-01,2025-02-16,Organic
OPP-0068,Pioneer Logistics,Sana,East,IT Services,Proposal,4428000,0.5,2214000,Partner Referral,2026-08-11,2026-12-05,Partner Referral
OPP-0069,Crescent Retail,Diya,South,Healthcare,Qualified,3454000,0.25,863500,Trade Show,2026-08-03,2026-10-14,Trade Show
OPP-0070,Zenith Foods,Aarav,East,Education,Negotiation,3478000,0.7,2434600,Email Nurture,2025-11-18,2026-03-13,Email Nurture
OPP-0071,Orion Industrial,Kabir,West,Retail,Lead,424000,0.1,42400,LinkedIn,2026-06-07,2026-08-12,LinkedIn
OPP-0072,Aria Components,Diya,East,Retail,Won,2987000,1.0,2987000,Trade Show,2026-06-12,2026-10-26,Trade Show
OPP-0073,Vertex Health,Diya,South,Manufacturing,Proposal,3405000,0.5,1702500,LinkedIn,2026-05-10,2026-07-31,LinkedIn
OPP-0074,Riverstone Ltd,Kabir,South,Education,Qualified,3395000,0.25,848750,Email Nurture,2025-07-09,2025-11-09,Email Nurture
OPP-0075,Summit Manufacturing,Aarav,South,Education,Lead,2752000,0.1,275200,Trade Show,2025-09-21,2025-11-04,Trade Show
OPP-0076,Horizon Tech,Sana,West,Logistics,Won,2334000,1.0,2334000,Organic,2025-06-24,2025-11-15,Organic
OPP-0077,Trinity Services,Sana,South,Healthcare,Lost,3825000,0.0,0,Trade Show,2026-03-06,2026-06-30,Trade Show
OPP-0078,Gamma Manufacturing,Sana,East,Logistics,Lead,1366000,0.1,136600,Partner Referral,2025-07-16,2025-11-04,Partner Referral
OPP-0079,Vertex Health,Kabir,East,Retail,Proposal,2671000,0.5,1335500,Google Search,2026-02-11,2026-04-26,Google Search
OPP-0080,Falcon Logistics,Diya,South,Manufacturing,Proposal,2348000,0.5,1174000,Organic,2025-12-16,2026-03-08,Organic
OPP-0081,Falcon Logistics,Kabir,North,Manufacturing,Negotiation,4088000,0.7,2861600,Email Nurture,2025-12-09,2026-02-05,Email Nurture
OPP-0082,Metro Healthcare,Meera,East,Healthcare,Won,2203000,1.0,2203000,LinkedIn,2025-02-22,2025-04-24,LinkedIn
OPP-0083,Urban Retail,Meera,South,Healthcare,Lost,721000,0.0,0,Organic,2025-02-12,2025-06-04,Organic
OPP-0084,Quantum Tech,Diya,North,Manufacturing,Qualified,3049000,0.25,762250,Organic,2026-01-28,2026-04-05,Organic
OPP-0085,Metro Healthcare,Sana,West,Retail,Lead,4350000,0.1,435000,Email Nurture,2025-12-11,2026-03-22,Email Nurture
