Ticket ID,Customer,Opened Date,Channel,First Response Hours,Resolution Hours,Self Service,CSAT
TKT-00001,Westline Systems,2026-01-13,Web,10.4,59.5,No,4.0
TKT-00002,Crescent Retail,2025-02-15,Web,12.8,24.7,Yes,4.0
TKT-00003,BrightPath Consulting,2025-10-30,Portal,18.2,81.0,No,3.2
TKT-00004,Quantum Tech,2026-02-19,Phone,12.0,14.6,No,3.2
TKT-00005,Urban Retail,2025-06-23,Portal,1.0,67.5,No,3.5
TKT-00006,Cobalt Systems,2025-10-20,Chat,23.8,76.3,No,3.2
TKT-00007,BluePeak Ltd,2026-04-08,Web,23.7,42.0,Yes,3.5
TKT-00008,Summit Manufacturing,2025-02-22,Chat,24.5,59.7,No,4.8
TKT-00009,Dawn Healthcare,2026-08-07,Email,20.5,48.3,No,3.1
TKT-00010,Fusion Logistics,2025-09-18,Portal,28.9,62.3,No,4.7
TKT-00011,Zenith Foods,2026-05-31,Phone,34.5,58.0,No,3.6
TKT-00012,Quantum Tech,2026-04-15,Chat,18.3,30.4,No,3.5
TKT-00013,Riverstone Ltd,2025-12-04,Phone,30.9,52.2,No,4.7
TKT-00014,Delta Systems,2026-08-16,Chat,30.3,37.6,No,4.3
TKT-00015,Zenith Foods,2025-10-11,Phone,27.6,66.9,No,4.6
TKT-00016,Gamma Manufacturing,2026-01-12,Chat,5.7,29.5,No,4.8
TKT-00017,Horizon Tech,2026-05-18,Portal,13.9,15.3,No,3.7
TKT-00018,Nova Systems,2026-05-08,Chat,29.9,101.4,No,3.0
TKT-00019,Horizon Tech,2025-09-07,Email,14.9,35.5,No,3.3
TKT-00020,Summit Manufacturing,2026-01-14,Portal,27.9,54.8,Yes,3.9
TKT-00021,Metro Healthcare,2025-11-11,Portal,15.5,55.6,Yes,4.2
TKT-00022,Fusion Logistics,2025-02-20,Portal,21.7,91.9,Yes,4.9
TKT-00023,Delta Systems,2026-01-11,Portal,1.8,26.0,Yes,3.4
TKT-00024,Urban Retail,2026-03-31,Phone,3.3,43.3,No,3.3
TKT-00025,Lotus Retail,2025-11-16,Email,5.3,29.4,No,4.6
TKT-00026,Kaveri Engineering,2025-02-01,Web,24.3,78.8,Yes,3.4
TKT-00027,Gamma Manufacturing,2025-05-05,Email,33.0,82.7,No,4.0
