Month,Campaign,Spend,Leads,Opportunities,Won Customers,Attributed Revenue,Emails Sent,Email Opens,Email Clicks
2025-01,Google Search,162684,45,8,2,728522,450,121,21
2025-01,LinkedIn,262516,108,39,11,7955200,1080,334,92
2025-01,Trade Show,342280,86,25,7,1800617,688,168,20
2025-01,Partner Referral,347717,62,11,3,2114736,558,222,39
2025-01,Email Nurture,278812,84,17,3,1773594,504,177,43
2025-01,Organic,136517,205,62,14,8839544,1435,413,112
2025-02,Google Search,287078,236,66,15,11717745,1416,306,55
2025-02,LinkedIn,400800,130,40,7,5452251,1040,349,34
2025-02,Trade Show,449700,153,54,9,4829562,1224,424,34
2025-02,Partner Referral,153173,227,71,13,9200503,1362,453,57
2025-02,Email Nurture,215560,215,39,12,6769728,860,284,68
2025-02,Organic,360187,220,47,14,4680312,880,253,53
2025-03,Google Search,504837,260,90,20,6979100,1560,370,70
2025-03,LinkedIn,346510,258,65,21,14175252,1806,421,113
2025-03,Trade Show,540442,175,63,14,6580630,1050,241,21
2025-03,Partner Referral,546123,153,33,7,1669535,1530,630,54
2025-03,Email Nurture,268369,107,21,7,3113089,856,165,24
2025-03,Organic,99384,139,30,9,6229998,834,300,68
2025-04,Google Search,139264,216,39,9,4282308,1080,363,100
2025-04,LinkedIn,465323,203,56,8,4616680,1624,319,61
2025-04,Trade Show,280153,134,54,16,12545488,804,171,31
2025-04,Partner Referral,494699,186,72,12,2886108,1674,586,82
2025-04,Email Nurture,103709,129,32,7,2878470,1032,370,79
2025-04,Organic,359857,160,45,9,6631011,960,245,54
2025-05,Google Search,215801,98,28,6,4083582,392,79,18
2025-05,LinkedIn,224544,111,33,6,3153432,888,215,53
2025-05,Trade Show,275956,61,15,3,2394417,366,94,14
2025-05,Partner Referral,283035,258,68,20,13179160,1032,225,22
2025-05,Email Nurture,218645,41,8,1,520586,164,63,11
2025-05,Organic,505463,162,35,7,2946237,1296,286,38
2025-06,Google Search,377024,149,62,18,10724976,894,246,40
2025-06,LinkedIn,224388,218,46,13,6523738,2180,510,139
2025-06,Trade Show,92140,202,84,22,18658024,1212,417,94
2025-06,Partner Referral,206720,85,17,5,4131445,680,247,63
2025-06,Email Nurture,203374,223,43,13,9210435,1561,318,75
2025-06,Organic,89917,169,62,19,11586580,845,218,52
2025-07,Google Search,130159,179,43,12,6240192,1432,476,94
2025-07,LinkedIn,442636,121,28,5,3063945,726,295,31
2025-07,Trade Show,435938,240,92,27,7003530,960,225,54
2025-07,Partner Referral,141947,203,45,13,6946225,1421,589,150
2025-07,Email Nurture,427520,203,37,11,5205926,1015,402,104
2025-07,Organic,155790,229,76,10,3096810,2290,785,63
2025-08,Google Search,431789,238,95,16,10198960,2142,539,83
2025-08,LinkedIn,223987,225,52,11,3891008,1125,375,85
2025-08,Trade Show,287791,118,24,6,3451788,1062,263,59
2025-08,Partner Referral,450823,146,29,8,2305472,1168,338,30
2025-08,Email Nurture,142078,140,59,7,2830765,1260,261,51
2025-08,Organic,409224,64,21,5,3512545,320,58,10
2025-09,Google Search,305216,229,45,13,8432632,1832,330,65
2025-09,LinkedIn,354307,207,52,13,7296887,1449,577,72
2025-09,Trade Show,304760,59,18,4,3315796,590,194,46
2025-09,Partner Referral,267575,179,66,13,8792316,716,186,46
2025-09,Email Nurture,208501,248,57,17,14365578,992,293,51
2025-09,Organic,418760,197,51,8,2982496,1970,683,144
2025-10,Google Search,130618,229,55,12,9488220,1832,624,139
2025-10,LinkedIn,323071,61,19,3,1555581,244,46,7
2025-10,Trade Show,468674,252,86,21,10253859,1008,337,63
2025-10,Partner Referral,418067,207,60,11,8274376,2070,612,142
2025-10,Email Nurture,478882,222,84,15,10506030,888,198,35
2025-10,Organic,218952,161,66,14,5140310,1127,470,128
2025-11,Google Search,376570,162,62,11,6953617,1296,307,73
2025-11,LinkedIn,449942,257,79,10,4624330,2056,476,129
2025-11,Trade Show,224349,92,26,7,4201848,460,185,23
2025-11,Partner Referral,110560,234,50,16,13036272,1638,649,139
2025-11,Email Nurture,82824,157,35,6,2704770,785,162,36
2025-11,Organic,162031,45,12,2,1218458,450,108,29
2025-12,Google Search,244224,61,17,5,3135335,244,72,10
2025-12,LinkedIn,443991,170,44,13,9388366,680,177,35
2025-12,Trade Show,266325,235,77,14,5270356,2115,680,144
2025-12,Partner Referral,265619,44,12,3,1750122,176,48,5
2025-12,Email Nurture,215659,195,76,10,3091950,780,219,41
2025-12,Organic,404984,108,28,8,2641888,540,198,35
