Opportunity ID,Customer,Salesperson,Region,Industry,Stage,Deal Value,Probability,Expected Revenue,Created Date,Expected Close
OPP-0001,Crescent Retail,Rohan,North,Retail,Lost,1822000,0.0,0,2025-11-28,2025-12-25
OPP-0002,Crescent Retail,Meera,West,Manufacturing,Lead,2320000,0.1,232000,2026-08-20,2026-09-13
OPP-0003,Horizon Tech,Sana,North,Education,Lead,1953000,0.1,195300,2025-09-04,2025-10-20
OPP-0004,Riverstone Ltd,Diya,East,Healthcare,Proposal,4395000,0.5,2197500,2026-08-23,2026-09-18
OPP-0005,Delta Systems,Rohan,South,Retail,Proposal,2601000,0.5,1300500,2025-05-28,2025-07-28
OPP-0006,Trinity Services,Diya,West,Logistics,Proposal,353000,0.5,176500,2025-04-10,2025-05-10
OPP-0007,Lotus Retail,Kabir,South,IT Services,Proposal,1465000,0.5,732500,2026-06-29,2026-11-07
OPP-0008,Eagle Retail,Kabir,West,Retail,Lead,1404000,0.1,140400,2025-09-07,2026-01-26
OPP-0009,Evergreen Health,Meera,West,Manufacturing,Lead,1925000,0.1,192500,2025-03-16,2025-06-26
OPP-0010,Kaveri Engineering,Sana,East,Education,Won,2611000,1.0,2611000,2025-03-21,2025-06-24
OPP-0011,Indus Education,Meera,North,Manufacturing,Negotiation,2094000,0.7,1465800,2026-05-24,2026-07-01
OPP-0012,Jupiter Foods,Sana,West,Logistics,Negotiation,4469000,0.7,3128300,2025-11-14,2026-03-23
OPP-0013,Trinity Services,Aarav,West,Manufacturing,Lead,2118000,0.1,211800,2025-12-22,2026-02-18
OPP-0014,Metro Healthcare,Meera,West,Manufacturing,Won,647000,1.0,647000,2025-08-12,2025-10-29
OPP-0015,Cobalt Systems,Meera,East,Logistics,Proposal,2506000,0.5,1253000,2025-06-20,2025-08-09
OPP-0016,Horizon Tech,Diya,North,IT Services,Lost,3096000,0.0,0,2026-03-02,2026-06-22
OPP-0017,Cobalt Systems,Rohan,South,Retail,Qualified,1108000,0.25,277000,2025-06-04,2025-10-21
OPP-0018,Trinity Services,Rohan,East,IT Services,Lead,1929000,0.1,192900,2025-10-16,2026-02-02
OPP-0019,Orion Industrial,Sana,West,Healthcare,Lost,2973000,0.0,0,2026-06-12,2026-07-10
OPP-0020,BluePeak Ltd,Diya,North,IT Services,Proposal,2206000,0.5,1103000,2026-02-13,2026-06-10
OPP-0021,Delta Systems,Aarav,South,Education,Lead,1580000,0.1,158000,2026-03-28,2026-04-25
OPP-0022,Dawn Healthcare,Diya,West,IT Services,Lost,2791000,0.0,0,2025-04-14,2025-05-17
OPP-0023,Delta Systems,Aarav,West,Healthcare,Lost,2740000,0.0,0,2025-09-16,2026-01-30
OPP-0024,Zenith Foods,Kabir,East,Healthcare,Proposal,455000,0.5,227500,2026-05-07,2026-06-17
OPP-0025,Lotus Retail,Diya,North,Education,Proposal,983000,0.5,491500,2025-06-15,2025-11-12
OPP-0026,Quantum Tech,Kabir,South,Retail,Lost,3895000,0.0,0,2025-11-02,2026-01-22
OPP-0027,Urban Retail,Diya,South,IT Services,Proposal,3522000,0.5,1761000,2025-08-17,2025-11-24
OPP-0028,Pioneer Logistics,Kabir,North,Manufacturing,Won,1078000,1.0,1078000,2026-02-15,2026-07-12
OPP-0029,Orion Industrial,Sana,East,Retail,Proposal,932000,0.5,466000,2025-10-14,2026-01-25
OPP-0030,Kaveri Engineering,Diya,West,Education,Qualified,1079000,0.25,269750,2025-03-24,2025-05-28
OPP-0031,Cobalt Systems,Sana,North,Healthcare,Proposal,2964000,0.5,1482000,2025-01-02,2025-02-07
OPP-0032,Crescent Retail,Sana,West,Healthcare,Proposal,865000,0.5,432500,2025-07-24,2025-11-01
OPP-0033,Falcon Logistics,Diya,North,IT Services,Won,451000,1.0,451000,2026-02-16,2026-04-12
OPP-0034,Trinity Services,Rohan,West,Logistics,Won,3644000,1.0,3644000,2026-08-28,2026-10-19
OPP-0035,Apex Industries,Sana,North,Education,Lead,2501000,0.1,250100,2025-12-25,2026-01-14
OPP-0036,Apex Industries,Kabir,South,Retail,Proposal,3932000,0.5,1966000,2025-05-23,2025-07-31
OPP-0037,Riverstone Ltd,Meera,South,Manufacturing,Qualified,2670000,0.25,667500,2026-05-29,2026-08-18
OPP-0038,Nova Systems,Rohan,South,Education,Won,3006000,1.0,3006000,2025-12-29,2026-05-25
OPP-0039,Aria Components,Diya,North,IT Services,Proposal,158000,0.5,79000,2025-06-05,2025-10-10
OPP-0040,Riverstone Ltd,Aarav,East,Logistics,Lead,2815000,0.1,281500,2025-06-26,2025-08-10
OPP-0041,Eagle Retail,Rohan,North,IT Services,Proposal,2210000,0.5,1105000,2026-06-15,2026-07-27
OPP-0042,Orion Industrial,Rohan,North,Manufacturing,Qualified,3492000,0.25,873000,2025-07-15,2025-12-06
OPP-0043,Gamma Manufacturing,Sana,East,Healthcare,Qualified,4382000,0.25,1095500,2026-03-30,2026-08-23
OPP-0044,Westline Systems,Rohan,East,Education,Proposal,2190000,0.5,1095000,2026-06-05,2026-08-22
OPP-0045,Metro Healthcare,Meera,East,Manufacturing,Won,682000,1.0,682000,2025-07-27,2025-09-11
OPP-0046,BrightPath Consulting,Aarav,South,Logistics,Proposal,1016000,0.5,508000,2025-09-04,2025-12-05
OPP-0047,Horizon Tech,Sana,North,Healthcare,Lead,3982000,0.1,398200,2026-01-10,2026-05-24
OPP-0048,Falcon Logistics,Sana,West,Education,Lead,3030000,0.1,303000,2026-05-14,2026-07-25
OPP-0049,Crescent Retail,Sana,East,Manufacturing,Qualified,941000,0.25,235250,2026-02-18,2026-05-25
OPP-0050,Metro Healthcare,Kabir,East,Education,Proposal,2024000,0.5,1012000,2025-12-13,2026-01-01
OPP-0051,Eagle Retail,Aarav,North,Retail,Lead,4140000,0.1,414000,2025-03-07,2025-05-19
OPP-0052,Aria Components,Diya,West,Logistics,Lead,3522000,0.1,352200,2025-10-06,2025-12-29
OPP-0053,Summit Manufacturing,Meera,East,Manufacturing,Proposal,2449000,0.5,1224500,2025-09-22,2026-02-15
OPP-0054,Eagle Retail,Aarav,East,Manufacturing,Lead,3120000,0.1,312000,2025-10-13,2026-02-13
OPP-0055,Crescent Retail,Kabir,North,Healthcare,Won,446000,1.0,446000,2025-04-01,2025-06-11
OPP-0056,Trinity Services,Diya,North,Education,Qualified,2522000,0.25,630500,2025-01-12,2025-04-05
OPP-0057,BluePeak Ltd,Diya,South,Retail,Lost,4364000,0.0,0,2025-09-02,2025-11-23
OPP-0058,Quantum Tech,Sana,South,Retail,Proposal,986000,0.5,493000,2025-11-09,2026-03-18
OPP-0059,Apex Industries,Aarav,South,Education,Won,4476000,1.0,4476000,2025-12-22,2026-01-15
OPP-0060,Vertex Health,Meera,West,Education,Qualified,2053000,0.25,513250,2026-05-02,2026-09-04
