Month,Customer,MRR,Interactions,Interaction Cost,Acquisition Cost
2025-01,Apex Industries,71730,22,619.24,186110.97040481516
2025-02,Apex Industries,75015,4,478.0,86755.57236478353
2025-03,Apex Industries,93434,4,236.77,111096.40012385542
2025-04,Apex Industries,81305,5,258.09,168291.6909718992
2025-05,Apex Industries,95173,19,424.53,153959.34225695962
2025-06,Apex Industries,89754,20,237.84,188001.8594309928
2025-07,Apex Industries,84384,19,635.59,179297.8708377884
2025-08,Apex Industries,62763,8,361.15,124228.66283115563
2025-09,Apex Industries,81921,7,158.8,154424.97248043976
2025-10,Apex Industries,64547,13,414.04,117936.83268143992
2025-11,Apex Industries,82656,18,132.55,139826.54974467203
2025-12,Apex Industries,77056,5,152.68,111951.06031016841
2026-01,Apex Industries,65357,22,317.1,186833.52217166367
2026-02,Apex Industries,70796,23,588.29,115493.64349962227
2026-03,Apex Industries,73741,2,256.73,74773.10686751266
2026-04,Apex Industries,64913,10,218.41,155694.14702182717
2026-05,Apex Industries,93438,23,524.67,157261.51862528094
2026-06,Apex Industries,94638,23,573.09,90944.68475258206
2026-07,Apex Industries,91462,16,460.31,104451.13549199342
2026-08,Apex Industries,70123,17,416.94,165896.9050174179
2025-01,BluePeak Ltd,242197,3,519.08,641485.3381335901
2025-02,BluePeak Ltd,262193,5,299.09,320160.49330809555
2025-03,BluePeak Ltd,224058,18,562.54,528342.6514109265
2025-04,BluePeak Ltd,253908,20,431.58,764285.982064666
2025-05,BluePeak Ltd,304050,21,646.95,718335.0641891328
2025-06,BluePeak Ltd,291625,13,421.87,521170.43446629663
2025-07,BluePeak Ltd,221486,5,555.76,402118.1044700635
2025-08,BluePeak Ltd,237384,16,538.27,535789.0844515401
2025-09,BluePeak Ltd,278174,11,603.63,434508.1429432461
2025-10,BluePeak Ltd,254838,8,294.8,723543.5163682264
2025-11,BluePeak Ltd,209449,13,194.97,434670.556968746
2025-12,BluePeak Ltd,254672,16,458.54,480895.67572601855
2026-01,BluePeak Ltd,272902,15,139.93,346422.03337320837
2026-02,BluePeak Ltd,215096,17,509.54,262600.1698123236
2026-03,BluePeak Ltd,217020,5,522.41,438288.79015511466
2026-04,BluePeak Ltd,251659,18,563.62,331972.6451722187
2026-05,BluePeak Ltd,299234,5,460.93,742732.5405533032
2026-06,BluePeak Ltd,287794,24,461.61,406789.60131037
2026-07,BluePeak Ltd,231810,10,583.35,589576.949928947
2026-08,BluePeak Ltd,244600,23,162.01,573020.3448019667
2025-01,Crescent Retail,72713,11,590.26,541104.264736282
2025-02,Crescent Retail,66321,18,191.04,225165.8240514131
2025-03,Crescent Retail,65277,17,617.59,263728.4751836857
2025-04,Crescent Retail,62990,19,406.49,443090.36110485444
2025-05,Crescent Retail,76414,5,604.57,548763.3914700493
2025-06,Crescent Retail,51093,20,337.48,278692.10757353826
2025-07,Crescent Retail,52108,4,317.08,420327.5118550571
2025-08,Crescent Retail,54666,19,536.25,238073.3376093699
2025-09,Crescent Retail,52636,21,481.67,505383.3783022302
2025-10,Crescent Retail,66323,9,297.75,307433.38229916047
2025-11,Crescent Retail,70636,20,193.37,288156.2694704153
2025-12,Crescent Retail,60210,9,286.8,288850.080951299
2026-01,Crescent Retail,62829,13,490.36,211378.42831624456
